"You will be redirected to the Internetkassa in a few seconds.","U wordt binnen enkele seconden naar de Internetkassa doorgestuurd."
"No HTML response! Missing POST/GET vars in return URL from payment processor.","Geen HTML antwoord! Er ontbreken POST/GET variabelen in de terugkeer-URL."
"Order identifier is not valid!","Order ID is niet geldig!"
"Amount order is not valid!","Bedrag is niet geldig!"
"No payment method found for this order!","Geen betaalmethode gevonden voor deze order!"
"No payment method or brand not valid for this order!","Geen betaalmethode of type gevonden voor deze order!"
"Feedback signature (SHA1Sign) is not valid!","Order is corrupt! SHA1Sign validatie mislukt."
"Customer was redirected to Internetkassa.","Klant is doorverwezen naar de Internetkassa."
"Payment was canceled by customer.","Betaling geannuleerd door klant."
"You cancelled the payment. Please try again.","U heeft de betaling geannuleerd. Probeer opnieuw."
"Payment was declined by processor.","Betaling geannuleerd door Internetkassa."
"The payment processor declined your payment. Please try again.","Internetkassa heeft uw betaling geweigerd. Probeer opnieuw."
"There was an exception. Payment failed.","Een uitzondering heeft plaatsgevonden. Betaling mislukt."
"There was an exception. Your order was cancelled. Please try again.","Er was een uitzondering. De betaling is mislukt. Probeer opnieuw."
"Customer successfully returned from Internetkassa.","Klant succesvol teruggekeerd van de Internetkassa."
"An unexpected error occurred. Payment failed.","Een onverwachtte error heeft plaatsgevonden. Betaling mislukt."
"An unexpected error occurred. Your order was cancelled. Please try again.","Een onverwachtte error heeft plaatsgevonden. Betaling mislukt. Probeer opnieuw."
"Automatic update: payment successful!","Automatische update: klant heeft betaald!"
"Automatic update: customer was rejected by Internetkassa","Automatische update: klant heeft NIET betaald!"
"Customer returned from Internetkassa.","Klant teruggekeerd van de Internetkassa."
"Paid with Internetkassa","Betaald met Internetkassa"
"Card type","Betaalmethode"
"Processor","Merk"
"Choose your payment method","Kies uw betaalmethode"
"You have to choose a payment method!","U dient een betaalmethode te kiezen!"
